"","SRR16611076","SRR16611077","SRR16611078","SRR16611088","SRR16611089","SRR16611090"
"PA14_RS02355",5001,4011,2853,453,3336,6777
"PA14_RS02360",381,227,303,296,400,432
"PA14_RS02365",547,246,438,342,438,594
"PA14_RS02370",223,122,193,152,180,219
"PA14_RS02375",613,315,526,356,300,433
"PA14_RS02380",69,37,54,52,63,80
"PA14_RS02385",313,235,257,252,323,314
"PA14_RS02390",976,739,798,757,940,950
"PA14_RS02395",2505,1801,2458,1566,1701,1768
"PA14_RS02400",68827,46824,56808,38265,49123,47925
"PA14_RS02405",679,485,643,445,509,496
"PA14_RS02410",748,516,611,592,675,832
"PA14_RS02415",8771,3225,4846,9566,9103,12172
"PA14_RS02420",3054,1298,3801,3617,2965,3142
"PA14_RS02425",1363,983,1446,1255,1377,1325
"PA14_RS02430",1109,853,1920,692,686,713
"PA14_RS02435",342,274,406,287,331,311
"PA14_RS02440",421,342,365,359,465,447
"PA14_RS02445",188,170,181,140,175,163
"PA14_RS02450",17,10,20,9,6,20
"PA14_RS02455",81,59,69,42,52,80
"PA14_RS02460",256,218,189,148,193,235
"PA14_RS02465",697,442,692,418,461,489
"PA14_RS02470",614,446,655,501,577,586
"PA14_RS02475",604,373,576,361,370,442
"PA14_RS02480",76,49,119,41,57,55
"PA14_RS02485",34,23,63,11,24,22
"PA14_RS02490",697,469,443,343,318,425
"PA14_RS02495",13,9,5,16,16,26
"PA14_RS02500",152,131,137,162,189,215
"PA14_RS02505",630,434,505,185,263,262
"PA14_RS02510",145,85,114,104,113,145
"PA14_RS02515",203,159,162,88,128,145
"PA14_RS02520",202,160,200,102,133,131
"PA14_RS02525",31,15,23,17,29,37
"PA14_RS02530",93,91,110,100,121,139
"PA14_RS02535",2240,1863,2436,2863,3392,2745
"PA14_RS02540",631,381,462,382,454,434
"PA14_RS02545",1017,612,878,500,421,600
"PA14_RS02550",450,228,393,294,383,336
"PA14_RS02555",549,442,598,450,507,571
"PA14_RS02560",374,324,303,273,324,355
"PA14_RS02565",153,109,155,27,35,31
"PA14_RS02570",121,103,233,112,82,107
"PA14_RS02575",229,178,400,143,148,140
"PA14_RS02580",90,78,73,63,88,83
"PA14_RS02585",111,70,112,498,922,378
"PA14_RS02590",20,9,19,129,137,55
"PA14_RS02595",148,93,125,244,268,127
"PA14_RS02600",172,104,159,117,135,168
"PA14_RS02605",123,75,98,100,138,152
"PA14_RS31630",31,23,40,1,3,1
"PA14_RS02615",1063,1023,1254,1594,2274,2348
"PA14_RS02620",412,378,407,689,927,972
"PA14_RS02625",338,315,329,416,585,632
"PA14_RS02630",249,232,213,335,472,531
"PA14_RS02635",349,285,287,275,413,448
"PA14_RS02640",1490,1360,1267,1445,1803,1927
"PA14_RS02645",2056,1821,1399,1350,1490,2658
"PA14_RS02650",201,157,149,142,182,198
"PA14_RS02655",358,405,328,271,311,540
"PA14_RS02660",410,1718,1659,619,804,672
"PA14_RS02665",220,936,892,370,545,471
"PA14_RS02670",328,1124,1245,653,791,684
"PA14_RS02675",151,379,464,243,302,312
"PA14_RS02680",64,231,256,111,145,154
"PA14_RS02685",84,252,389,164,149,170
"PA14_RS02690",186,315,566,223,211,244
"PA14_RS02695",596,1111,1713,587,623,838
"PA14_RS02700",83,181,246,82,63,134
"PA14_RS02705",203,619,708,183,205,311
"PA14_RS02710",1687,5506,6162,759,792,1468
"PA14_RS02715",359,519,1305,371,435,446
"PA14_RS02720",63,145,370,40,64,59
"PA14_RS02725",15,44,152,14,18,23
"PA14_RS02730",112,548,2153,109,137,170
"PA14_RS02735",291,2032,7561,275,351,360
"PA14_RS02740",1205,3513,10741,835,1006,1284
"PA14_RS02745",955,1215,2089,462,594,852
"PA14_RS02750",1973,1607,1675,1319,1604,2966
"PA14_RS02755",192,160,265,149,144,194
"PA14_RS02760",95,92,91,72,73,98
"PA14_RS02765",20,19,19,18,20,24
"PA14_RS02770",141,130,152,106,121,141
"PA14_RS02775",284,124,199,124,109,113
"PA14_RS31340",198,110,201,94,77,71
"PA14_RS02785",488,309,430,407,464,569
"PA14_RS02790",1351,909,1037,239,516,589
"PA14_RS02795",445,351,303,164,290,288
"PA14_RS02800",1374,1385,1467,698,639,675
"PA14_RS02805",1030,900,1431,592,634,585
"PA14_RS02810",267,204,224,280,323,309
"PA14_RS02815",127,92,95,104,112,137
"PA14_RS02820",349,167,251,202,206,187
"PA14_RS02825",559,390,565,835,1094,1089
"PA14_RS02830",953,686,680,1027,1101,1594
"PA14_RS02835",433,295,520,416,461,480
"PA14_RS02840",505,412,448,377,478,582
"PA14_RS02845",1304,604,506,704,1049,1809
"PA14_RS02850",13422,10467,12630,4417,5174,5628
"PA14_RS02855",15103,8056,11764,2793,3957,3821
"PA14_RS02860",4682,4284,5249,3126,3885,3407
"PA14_RS02865",946,988,766,584,778,720
"PA14_RS02870",370,303,278,199,289,309
"PA14_RS02875",929,753,1032,1067,1306,1161
"PA14_RS02880",1680,1797,1565,1579,1894,1851
"PA14_RS02885",617,529,760,366,381,424
"PA14_RS02890",1161,848,1195,773,929,927
"PA14_RS02895",3303,3288,4176,2333,2622,2562
"PA14_RS02900",282,286,234,317,352,337
"PA14_RS31345",222,198,200,214,259,277
"PA14_RS02910",747,518,741,643,629,765
"PA14_RS02915",989,634,960,658,804,717
"PA14_RS02920",518,327,527,465,494,565
"PA14_RS02925",3,7,3,7,5,5
"PA14_RS02930",707,664,729,548,633,704
"PA14_RS02935",1741,2987,1637,537,773,886
"PA14_RS02940",295,235,283,248,272,315
"PA14_RS02945",907,857,1303,251,226,256
"PA14_RS02950",968,1140,1637,387,403,454
"PA14_RS02955",1149,1091,2088,388,316,366
"PA14_RS02960",800,693,1246,294,238,291
"PA14_RS02965",137,151,189,86,81,84
"PA14_RS02970",59,59,77,25,35,46
"PA14_RS02975",316,266,252,173,201,217
"PA14_RS02980",237,180,212,108,155,154
"PA14_RS31350",18,12,15,8,11,23
"PA14_RS02985",74,55,53,55,63,79
